Grapheme	IPA	Examples	Languages	Frequence	Codepoints
ŋ	ŋ	ŋaŋ31, năŋ31	BanDiuLaChi, NungDinLaChi, BanPhungLaChi	38	U+014b
ũ	ũ	ma53_nũ11_khɔ33, ta21_phũ53	BanPhungLaChi, Vietnamese	5	U+0169
ŭ	ŭ	ʔɗŭk45, mŭŋ33	NungDinLaChi, BanDiuLaChi	4	U+016d
Ɂ	ʔ	ʔɗaw33_Ɂɗi21, păk212_Ɂăk45	BanDiuLaChi, NungDinLaChi	3	U+0241
ɑ	ɑ	ʔɑ44_li33, pɑ323	NungDinLaChi, BanPhungLaChi	2	U+0251
ɑ̆	ɑ̆	thaŋ323_vɑ̆n33, năŋ35_mɑ̆j44	BanDiuLaChi	2	U+0251 U+0306
ɓ	ɓ	Ɂɓo31, ʔɓăn323	NungDinLaChi, BanDiuLaChi	6	U+0253
ɔ	ɔ	năm35_mɔ21, pu53_thjɔ53	BanPhungLaChi, NungDinLaChi, BanDiuLaChi	22	U+0254
ɔ̆	ɔ̆	khɔ̆n323_thu323, khɔn21_nɔ̆k35	BanDiuLaChi, NungDinLaChi	9	U+0254 U+0306
ɕ	ɕ	kũŋ53_ɕo33, ka33_ɕi44	BanPhungLaChi	2	U+0255
ɗ	ɗ	ʔɗaw33_Ɂɗi21, ʔɗeŋ323	NungDinLaChi, BanDiuLaChi	14	U+0257
ɛ	ɛ	pɛ33_pjɛ53, lɛp45	BanPhungLaChi, BanDiuLaChi, NungDinLaChi	20	U+025b
ɛ̃	ɛ̃	mɛ̃55_mɛ55ʔ, pɛ̃53	BanPhungLaChi	2	U+025b U+0303
ɤ	ɤ	lɤi44, bɤ33_siw21	BanPhungLaChi, BanDiuLaChi	3	U+0264
ɤ̆	ɤ̆	lɤ̆w33, kha35_khɤ̆w21	NungDinLaChi, BanDiuLaChi	7	U+0264 U+0306
ɤ̆w	ɤ̆w/ɤ̆u̯
ɤ̆ɯ	ɤ̆ɯ/ɤ̆ɯ̯
ɨ	ɨ	nɨ55ʔ, na545_mɨ55	BanPhungLaChi	5	U+0268
ɯ	ɯ	lɯt212, mak21_thɯ33_cɤ̆ɯ33	BanDiuLaChi, NungDinLaChi	31	U+026f
ɲ	ɲ	phu31_ɲĭŋ33, thiɲ545_le11	NungDinLaChi, BanPhungLaChi	2	U+0272
ʔ	ʔ	kɛ44_ʔa44, ăn33_ʔɗăŋ323	BanPhungLaChi, BanDiuLaChi	6	U+0294
β	β	βe53_βɛ55ʔ, ni11_βɔ44	BanPhungLaChi	2	U+03b2
$	NULL	năm545_lja55	BanPhungLaChi	1	U+f03f U+0024
^ai	ʔ aːi̯ ³³
^bay	ɓ ai̯ ³³
^biết	ɓ iː k ⁴⁵
^bàn_chân	ɓ aː ŋ ²¹ + c ə ŋ ³³
^bé	ɓ ɛː ⁴⁵
^bơi	ɓ əːi̯ ³³
^bụng	ɓ u ŋm ²¹²
^chim	c i m ³³
^cho	c ɔː ³³
^cháy	c ai̯ ⁴⁵
^chó	c ɔː ⁴⁵
^chúng_ta	c u ŋm ⁴⁵ + t aː ³³
^chấy	c əi̯ ⁴⁵
^chết	c əː t ⁴⁵
^cá	k aː ⁴⁵
^cái_gì	k aːi̯ ⁴⁵ + j i ²¹
^cát	k aː k ⁴⁵
^cây	k əi̯ ³³
^cắn	k a ŋ ⁴⁵
^cổ	k oː ²¹⁴
^da	j aː ³³
^dài	j aːi̯ ²¹
^gan	ɡ aː ŋ ³³
^giết	j iː k ⁴⁵
^gì	j i ²¹
^hai	h aːi̯ ³³
^hạt	h aː k ²¹²
^khói	x ɔːi̯ ⁴⁵
^khô	x oː ³³
^không	x ɔ ŋ ³³
^kia	k iə ³³
^lá	l aː ⁴⁵
^lông	l ɔ ŋm ³³
^lưỡi	l ɨːi̯ ²¹⁴
^lạnh	l a n ²¹²
^lớn	l əː ŋ ⁴⁵
^lửa	l ɨə ²¹⁴
^mày	m ai̯ ²¹
^máu	m au̯ ⁴⁵
^mây	m əi̯ ³³
^móng	m ɔ ŋm ⁴⁵
^mũi	m ui̯ ²¹⁴
^mưa	m ɨə ³³
^mắt	m a k ⁴⁵
^mặt_trăng	m a k ²¹² + ʈ a ŋ ³³
^mặt_trời	m a k ²¹² + ʈ əːi̯ ²¹
^mồm	m oː m ²¹
^miệng	m iː ŋ ²¹²
^một	m o k ²¹²
^mới	m əːi̯ ⁴⁵
^mỡ	m əː ²¹⁴
^nghe	ŋ ɛː ³³
^người	ŋ ɨːi̯ ²¹
^ngồi	ŋ oːi̯ ²¹
^ngủ	ŋ u ²¹⁴
^ngực	ŋ ɨ k ²¹²
^nhiều	ɲ iːu̯ ²¹
^nhìn	ɲ ɨ n ²¹
^nhỏ	ɲ ɔː ²¹⁴
^này	n ai̯ ²¹
^nói	n ɔːi̯ ⁴⁵
^nóng	n ɔ ŋm ⁴⁵
^núi	n ui̯ ⁴⁵
^nước	n ɨː k ⁴⁵
^nằm	n a m ²¹
^răng	r a ŋ ³³
^rễ	r eː ²¹⁴
^sao	s aːu̯ ³³
^sừng	s ɨ ŋ ²¹
^tai	t aːi̯ ³³
^tao	t aːu̯ ³³
^tay	t ai̯ ³³
^thịt	tʰ ɨ t ²¹²
^tim	t i m ³³
^to	t ɔː ³³
^tro	ʈ ɔː ³³
^tròn	ʈ ɔː ŋ ²¹
^trắng	ʈ a ŋ ⁴⁵
^trứng	ʈ ɨ ŋ ⁴⁵
^tên	t əː n ³³
^tóc	t ɔ kp ⁴⁵
^tôi	t oːi̯ ³³
^tất_cả	t ə k ⁴⁵ + k aː ²¹⁴
^tốt	t o k ⁴⁵
^uống	ʔ uː ŋ ⁴⁵
^vàng	v aː ŋ ²¹
^vỏ	v ɔː ²¹⁴
^xanh	s a n ³³
^xương	s ɨː ŋ ³³
^áy	áy/ai̯
^ây	ây/ai̯
^ăn	ʔ a ŋ ³³
^đen	ɗ ɛː ŋ ³³
^đi	ɗ i ³³
^đuôi	ɗ uːi̯ ³³
^đàn_bà	ɗ aː ŋ ²¹ + ɓ aː ²¹
^đàn_ông	ɗ aː ŋ ²¹ + ʔ ɔ ŋm ³³
^đá	ɗ aː ⁴⁵
^đêm	ɗ eː m ³³
^đường	ɗ ɨː ŋ ²¹
^đất	ɗ ə k ⁴⁵
^đầu	ɗ əu̯ ²¹
^đầu_gối	ɗ əu̯ ²¹ + ɡ oːi̯ ⁴⁵
^đầy	ɗ əi̯ ²¹
^đến	ɗ əː n ⁴⁵
^đỏ	ɗ ɔː ²¹⁴
^đứng	ɗ ɨ ŋ ⁴⁵
^ấy	ấy/ai̯
^ầy	ầy/ai̯
_$	NULL
