ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
BanPhungLaChi-1_sun-1,,BanPhungLaChi,1_sun,βa33 ,βa33,β a ³³,,Duong2020,,,^β a 33$,default
BanDiuLaChi-1_sun-1,,BanDiuLaChi,1_sun,thaŋ323 vɑ̆n33 ,thaŋ323_vɑ̆n33,tʰ a ŋ ³²³ + v ɑ̆ n ³³,,Duong2020,,,^th a ŋ 323 _ v ɑ̆ n 33$,default
NungDinLaChi-1_sun-1,,NungDinLaChi,1_sun,thaŋ323 văn33 ,thaŋ323_văn33,tʰ a ŋ ³²³ + v ă n ³³,,Duong2020,,,^th a ŋ 323 _ v ă n 33$,default
Vietnamese-1_sun-1,,Vietnamese,1_sun,mặt trời,mặt_trời,m ặ/a t + t r ờ/o i,,Duong2020,,,^m ặ t _ t r ờ i$,default
BanPhungLaChi-2_moon-1,,BanPhungLaChi,2_moon,m̥33 la33,m̥33_la33,m̥ ³³ + l a ³³,,Duong2020,,,^m̥ 33 _ l a 33$,default
BanDiuLaChi-2_moon-1,,BanDiuLaChi,2_moon,ăn33 haj323,ăn33_haj323,ă n ³³ + h a j ³²³,,Duong2020,,,^ă n 33 _ h a j 323$,default
NungDinLaChi-2_moon-1,,NungDinLaChi,2_moon,haj323,haj323,h a j ³²³,,Duong2020,,,^h a j 323$,default
Vietnamese-2_moon-1,,Vietnamese,2_moon,mặt trăng,mặt_trăng,m ặ/a t + t r ă ŋ,,Duong2020,,,^m ặ t _ t r ă ng $,default
BanPhungLaChi-3_star-1,,BanPhungLaChi,3_star,m̥33 thi44 li33,m̥33_thi44_li33,m̥ ³³ + tʰ i ⁴⁴ + l i ³³,,Duong2020,,,^m̥ 33 _ th i 44 _ l i 33$,default
BanDiuLaChi-3_star-1,,BanDiuLaChi,3_star,ʔɗaw33 Ɂɗi21,ʔɗaw33_Ɂɗi21,ʔ ɗ a w ³³ + ʔ ɗ i ²¹,,Duong2020,,,^ʔ ɗ a w 33 _ Ɂ ɗ i 21$,default
NungDinLaChi-3_star-1,,NungDinLaChi,3_star,ʔɗaw33 Ɂɗi21,ʔɗaw33_Ɂɗi21,ʔ ɗ a w ³³ + ʔ ɗ i ²¹,,Duong2020,,,^ʔ ɗ a w 33 _ Ɂ ɗ i 21$,default
Vietnamese-3_star-1,,Vietnamese,3_star,sao,sao,s a o,,Duong2020,,,^s a o$,default
