No.	English	La Chí Bản Phùng	La Chí Bản Díu	Nùng Dín	Vietnamese
1	sun	βa33 	thaŋ323 vɑ̆n33 	thaŋ323 văn33 	mặt trời
2	moon	m̥33 la33	ăn33 haj323	haj323	mặt trăng
3	star	m̥33 thi44 li33	ʔɗaw33 Ɂɗi21	ʔɗaw33 Ɂɗi21	sao
4	earth	ʔu33	nam33	nam31	đất
5	cloud	m̥33 qɛ44 hu11	năm35 mɔ21	pha45	mây
6	rain	ɲã33	phăn35 lɔ̆ŋ33	phăn33 	mưa
7	water	ʔi33	năm45	năm45	nước 
8	mountain	kũŋ53 ɕo33	ăn35 po35	po33 pha323	núi
9	rock	ni11/33	măk21 pa35	mak21 pa323	đá
10	sand	ɲã44	saj33	saj33	cát
11	road/way	qhi44/khi44	kha35 lo33	lo31	đường (đi)
12	fire	pe33	făj33	făj33	lửa
13	smoke	kăm33 pe33	zăj33	zaj33 făj31	khói
14	ash	te33	tăw31	tăw31	tro
15	night	ni11 βɔ44	chaŋ35 hɯŋ33	hăm31	đêm
16	tree	mjã11  te33	măj23	măj45	cây
17	seed	pjɔ44	huj21	huj21	hạt
18	leaf	lɤi44/ lɨ44	ʔɓɤ̆ŋ43 măj35	ʔɓɤ̆ɯ323	lá
19	root	ka33 ɕi44	lak35	lak21	rễ
20	bark	ka33 tu44	năŋ35 mɑ̆j44	năŋ35 măj44	vỏ (cây)
21	dog	mã41	ti21 ma35	ma323	chó
22	bird	ʔa33 nɔ55ʔ	ti21 nɔ̆k45	nɔ̆k33	chim
23	fish	ʔɑ44 li33	ti21 pa35	pɑ323	cá
24	louse 	te44	ti323 măn33	thăw33	chấy
25	claw	lɛ33 m̥55	lɛp45	lɛp45	móng 
26	horn	qɛ44	khăw323	khăw323	sừng
27	leather	mɛ̃55 mɛ55ʔ	khɔn21 nɔ̆k35	khɔn21	lông
28	tail	ɸɛ55ʔ	thaŋ323	thaŋ323	đuôi
29	egg	tã55ʔ	ăn33 saj31	saj31	trứng
30	head	năŋ53 kha545	păk41 thu33	thu323	đầu
31	hair	kha545 cɔ55ʔ	khɔ̆n323 thu323	khɔ̆n323 thu323	tóc
32	eye	năm53 tju33	luk35 tha323	tha323	mắt
33	nose	ɲa55ʔ	ăn33 ʔɗăŋ323	ʔɗăŋ323	mũi
34	mouth	m̥33 khɔ33	cɯm41 pak21	pak21	mồm/miệng
35	tooth 	ɸi44	măk35 făn33	măk35 făn33	răng
36	tongue 	m̥33 ljɔ33	măk21 lin45	lin45	lưỡi
37	ear 	lu33	bɤ33 siw21   	su323	tai
38	neck 	ka44 tu33 zu55ʔ	ho33	kɔk45 ho33	cổ
39	hand	m̥55	mŭŋ33	mŭŋ33	tay
40	chest	ta21 phũ53	păk212 Ɂăk45	ʔăk45	ngực
41	foot	lɛ53	pha33 kha45	kha323	bàn chân
